generated_at_utc,period,interval,symbol,company_name,signal,native_currency,pnl_eur,pnl_native,pnl_pct_eur,trade_count,last_price_eur,last_price_native
2026-03-23T09:26:02.589216+00:00,2y,1d,SNDK,Sandisk Corporation,HOLD,USD,599.4831918394993,690.4897646777009,5.994831918394993,2,616.1702186146673,709.7100219726562
2026-03-23T09:26:02.589216+00:00,2y,1d,MRNA,"Moderna, Inc.",HOLD,USD,119.83154371639466,138.02297637037296,1.1983154371639466,3,44.608115301184455,51.380001068115234
2026-03-23T09:26:02.589216+00:00,2y,1d,CF,"CF Industries Holdings, Inc.",HOLD,USD,2.644547013207557,3.0460114139742047,0.02644547013207557,5,108.43817737174098,124.9000015258789
